ddlat;ddlon;tax;higher.tax.rank;coly;city
-17.66328271;-70.74362654;Tillandsia latifolia;BROMELIACEAE;2022;PE
-1.333333;-79.9;Tillandsia latifolia;BROMELIACEAE;1968;EC
-11.893603;-76.440636;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.017649;-76.832287;Tillandsia latifolia;BROMELIACEAE;2020;PE
-11.234103;-77.37667;Tillandsia latifolia;BROMELIACEAE;2020;PE
-12.262878;-76.900908;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.046373;-77.042754;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.110989;-77.414222;Tillandsia latifolia;BROMELIACEAE;2025;PE
-12.106625;-76.925696;Tillandsia latifolia;BROMELIACEAE;2023;PE
-6.869843;-79.771736;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.89731;-76.478919;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.062827;-76.930587;Tillandsia latifolia;BROMELIACEAE;2022;PE
-1.51688;-80.763334;Tillandsia latifolia;BROMELIACEAE;2020;EC
-6.86974;-79.771111;Tillandsia latifolia;BROMELIACEAE;2023;PE
-8.679973;-77.842197;Tillandsia latifolia;BROMELIACEAE;2024;PE
-11.896188;-76.43976;Tillandsia latifolia;BROMELIACEAE;2022;PE
-8.189884;-78.949151;Tillandsia latifolia;BROMELIACEAE;2024;PE
-15.183612;-75.214723;Tillandsia latifolia;BROMELIACEAE;2013;PE
-12.092778;-76.916668;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.067097;-76.928143;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.742806;-76.550606;Tillandsia latifolia;BROMELIACEAE;2024;PE
-2.271147;-78.947934;Tillandsia latifolia;BROMELIACEAE;2023;EC
-11.891789;-76.441233;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.917617;-76.43945;Tillandsia latifolia;BROMELIACEAE;2021;PE
-10.864894;-77.705139;Tillandsia latifolia;BROMELIACEAE;2024;PE
-10.502;-77.25;Tillandsia latifolia;BROMELIACEAE;2023;PE
-15.14806;-74.974766;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.896868;-76.438885;Tillandsia latifolia;BROMELIACEAE;2023;PE
-15.134747;-74.983488;Tillandsia latifolia;BROMELIACEAE;2025;PE
-12.410984;-76.766879;Tillandsia latifolia;BROMELIACEAE;2021;PE
-8.191745;-78.949869;Tillandsia latifolia;BROMELIACEAE;2024;PE
-12.165742;-76.829817;Tillandsia latifolia;BROMELIACEAE;2021;PE
-6.872835;-79.77187;Tillandsia latifolia;BROMELIACEAE;2022;PE
-10.452;-77.919;Tillandsia latifolia;BROMELIACEAE;2023;PE
-12.181598;-77.027975;Tillandsia latifolia;BROMELIACEAE;2025;PE
-14.848;-74.738;Tillandsia latifolia;BROMELIACEAE;2017;PE
-15.151111;-74.993056;Tillandsia latifolia;BROMELIACEAE;2019;PE
-12.163209;-76.831329;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.021196;-76.801323;Tillandsia latifolia;BROMELIACEAE;2020;PE
-15.216;-74.95;Tillandsia latifolia;BROMELIACEAE;2023;PE
-11.23443;-77.61182;Tillandsia latifolia;BROMELIACEAE;2024;PE
-12.343033;-76.755983;Tillandsia latifolia;BROMELIACEAE;2022;PE
-15.018924;-75.425801;Tillandsia latifolia;BROMELIACEAE;2015;PE
-12.067301;-76.928864;Tillandsia latifolia;BROMELIACEAE;2022;PE
-11.894092;-76.440446;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.072533;-77.087105;Tillandsia latifolia;BROMELIACEAE;2021;PE
-11.507134;-76.715443;Tillandsia latifolia;BROMELIACEAE;2024;PE
-12.727027;-76.455866;Tillandsia latifolia;BROMELIACEAE;2021;PE
-12.062311;-76.931003;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.962;-76.289;Tillandsia latifolia;BROMELIACEAE;2023;PE
-12.345011;-76.774855;Tillandsia latifolia;BROMELIACEAE;2022;PE
-12.346427;-76.773192;Tillandsia latifolia;BROMELIACEAE;2022;PE
